               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 120,            0.034138,             0.01153,            0.010134,             0.92134,             0.90093,             0.92452,             0.55056,            0.033477,           0.0036954,            0.002448,            0.002146,            0.002146,            0.002146
                 121,            0.033853,            0.011769,           0.0095216,             0.91537,             0.90202,             0.91948,             0.55806,            0.033253,           0.0037007,           0.0026641,             0.00208,             0.00208,             0.00208
                 122,            0.033939,            0.011373,           0.0092111,             0.93207,             0.90478,             0.93123,             0.57604,            0.032824,           0.0036909,           0.0028525,            0.002014,            0.002014,            0.002014
                 123,             0.03463,            0.011451,           0.0096077,             0.93938,             0.90466,             0.93534,             0.57144,             0.03263,           0.0036938,           0.0028617,            0.001948,            0.001948,            0.001948
                 124,            0.033927,            0.011513,           0.0086906,             0.92918,             0.90065,             0.93152,             0.57725,            0.032119,            0.003693,           0.0030591,            0.001882,            0.001882,            0.001882
                 125,            0.034341,            0.011465,           0.0095125,             0.92888,              0.8977,             0.93191,             0.57203,            0.031987,           0.0037139,           0.0036577,            0.001816,            0.001816,            0.001816
                 126,            0.035374,             0.01141,           0.0084598,             0.92425,              0.8998,             0.92635,             0.57973,            0.031692,             0.00369,           0.0040198,             0.00175,             0.00175,             0.00175
                 127,            0.033464,            0.011232,           0.0085959,             0.92978,             0.90788,             0.93071,             0.59455,            0.031272,           0.0036748,           0.0046364,            0.001684,            0.001684,            0.001684
                 128,            0.034034,            0.011139,           0.0082767,             0.93445,             0.90374,              0.9341,             0.59662,            0.031611,           0.0036646,           0.0047884,            0.001618,            0.001618,            0.001618
                 129,            0.033308,              0.0112,           0.0090562,             0.93658,             0.90409,             0.93141,             0.59278,            0.031494,           0.0036618,           0.0043878,            0.001552,            0.001552,            0.001552
